epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,21527.4,1.18327,0.69901,1.22688,0.88183,0.86931,0.90454,0.63469,1.13928,0.58085,1.22506,0.000705936,0.000705936,0.000705936
94,21758.7,1.1886,0.70212,1.23357,0.88329,0.87087,0.90524,0.63452,1.1391,0.58178,1.22811,0.000694044,0.000694044,0.000694044
95,21989.3,1.18348,0.70304,1.23184,0.88208,0.87269,0.90462,0.63349,1.14018,0.58519,1.22955,0.000682152,0.000682152,0.000682152
96,22220.7,1.18671,0.69641,1.23572,0.88184,0.8725,0.90514,0.6344,1.13891,0.58423,1.22944,0.00067026,0.00067026,0.00067026
97,22451.2,1.16933,0.68807,1.2223,0.88643,0.87001,0.9058,0.6363,1.1357,0.58219,1.22736,0.000658368,0.000658368,0.000658368
98,22683.5,1.17456,0.69101,1.22752,0.8884,0.87024,0.90596,0.63584,1.13573,0.58124,1.2277,0.000646476,0.000646476,0.000646476
99,22916.5,1.171,0.69145,1.22497,0.88632,0.86915,0.90674,0.63612,1.13475,0.58151,1.22722,0.000634584,0.000634584,0.000634584
100,23148.8,1.1707,0.68709,1.22289,0.88576,0.87023,0.905,0.63477,1.13561,0.58054,1.22703,0.000622692,0.000622692,0.000622692
101,23380,1.17034,0.67943,1.22337,0.88622,0.8705,0.90707,0.63574,1.13602,0.58004,1.2284,0.0006108,0.0006108,0.0006108
102,23607.3,1.16015,0.67863,1.2168,0.88729,0.87103,0.90667,0.63491,1.13605,0.58033,1.22828,0.000598908,0.000598908,0.000598908
103,23840.7,1.162,0.68789,1.21409,0.88594,0.86972,0.90621,0.63496,1.13723,0.58139,1.22865,0.000587016,0.000587016,0.000587016
104,24077.3,1.16132,0.68813,1.2201,0.88737,0.87118,0.90679,0.6345,1.13577,0.58073,1.22841,0.000575124,0.000575124,0.000575124
105,24316.8,1.15575,0.68455,1.21603,0.888,0.87211,0.9071,0.63447,1.13597,0.5796,1.22861,0.000563232,0.000563232,0.000563232
106,24555,1.15139,0.67257,1.21766,0.88892,0.86543,0.90724,0.63525,1.13403,0.57931,1.2276,0.00055134,0.00055134,0.00055134
107,24788.9,1.15308,0.68165,1.21144,0.89019,0.8656,0.90693,0.63643,1.13283,0.57955,1.22715,0.000539448,0.000539448,0.000539448
